park_date,wait_hour,attraction_name,wait_minutes_posted_avg,attraction_duration,attraction_park,attraction_land,park_open,park_close,park_extra_magic_morning,park_extra_magic_evening,park_ticket_season,park_temperature_average,park_temperature_high,attraction_short_name
2018-04-27,9,Expedition Everest - Legend of the Forbidden Mountain,23.33333333,4,Disney's Animal Kingdom,Asia,9:00:00,21:30:00,0,0,value,73.67,84.33,Expedition Everest
2018-04-27,10,Expedition Everest - Legend of the Forbidden Mountain,45.55555556,4,Disney's Animal Kingdom,Asia,9:00:00,21:30:00,0,0,value,73.67,84.33,Expedition Everest
2018-04-27,11,Expedition Everest - Legend of the Forbidden Mountain,59.44444444,4,Disney's Animal Kingdom,Asia,9:00:00,21:30:00,0,0,value,73.67,84.33,Expedition Everest
2018-04-27,12,Expedition Everest - Legend of the Forbidden Mountain,55,4,Disney's Animal Kingdom,Asia,9:00:00,21:30:00,0,0,value,73.67,84.33,Expedition Everest
2018-04-27,14,Expedition Everest - Legend of the Forbidden Mountain,35,4,Disney's Animal Kingdom,Asia,9:00:00,21:30:00,0,0,value,73.67,84.33,Expedition Everest
2018-04-27,15,Expedition Everest - Legend of the Forbidden Mountain,53.33333333,4,Disney's Animal Kingdom,Asia,9:00:00,21:30:00,0,0,value,73.67,84.33,Expedition Everest
2018-04-27,16,Expedition Everest - Legend of the Forbidden Mountain,90,4,Disney's Animal Kingdom,Asia,9:00:00,21:30:00,0,0,value,73.67,84.33,Expedition Everest
2018-04-27,17,Expedition Everest - Legend of the Forbidden Mountain,50,4,Disney's Animal Kingdom,Asia,9:00:00,21:30:00,0,0,value,73.67,84.33,Expedition Everest
2018-04-27,18,Expedition Everest - Legend of the Forbidden Mountain,44.44444444,4,Disney's Animal Kingdom,Asia,9:00:00,21:30:00,0,0,value,73.67,84.33,Expedition Everest
2018-04-27,19,Expedition Everest - Legend of the Forbidden Mountain,37.22222222,4,Disney's Animal Kingdom,Asia,9:00:00,21:30:00,0,0,value,73.67,84.33,Expedition Everest
2018-04-27,20,Expedition Everest - Legend of the Forbidden Mountain,20,4,Disney's Animal Kingdom,Asia,9:00:00,21:30:00,0,0,value,73.67,84.33,Expedition Everest
2018-04-27,21,Expedition Everest - Legend of the Forbidden Mountain,14,4,Disney's Animal Kingdom,Asia,9:00:00,21:30:00,0,0,value,73.67,84.33,Expedition Everest
2018-04-28,7,Expedition Everest - Legend of the Forbidden Mountain,5,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,71.6,81.93,Expedition Everest
2018-04-28,8,Expedition Everest - Legend of the Forbidden Mountain,10.41666667,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,71.6,81.93,Expedition Everest
2018-04-28,9,Expedition Everest - Legend of the Forbidden Mountain,22.27272727,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,71.6,81.93,Expedition Everest
2018-04-28,10,Expedition Everest - Legend of the Forbidden Mountain,52,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,71.6,81.93,Expedition Everest
2018-04-28,11,Expedition Everest - Legend of the Forbidden Mountain,57.77777778,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,71.6,81.93,Expedition Everest
2018-04-28,12,Expedition Everest - Legend of the Forbidden Mountain,65,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,71.6,81.93,Expedition Everest
2018-04-28,13,Expedition Everest - Legend of the Forbidden Mountain,82.22222222,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,71.6,81.93,Expedition Everest
2018-04-28,14,Expedition Everest - Legend of the Forbidden Mountain,71,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,71.6,81.93,Expedition Everest
2018-04-28,15,Expedition Everest - Legend of the Forbidden Mountain,78.33333333,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,71.6,81.93,Expedition Everest
2018-04-28,16,Expedition Everest - Legend of the Forbidden Mountain,43.88888889,4,Disney's Animal Kingdom,Asia,9:00:00,22:30:00,1,0,regular,71.6,81.93,Expedition Everest
