"park_date","wait_hour","attraction_name","wait_minutes_actual_avg","wait_minutes_posted_avg","attraction_wait_per_hundred_average","attraction_duration","attraction_park","attraction_land","park_open","park_close","park_extra_magic_morning","park_extra_magic_evening","park_ticket_season","park_temperature_average","park_temperature_high","attraction_short_name"
2018-04-17,13,"Rock 'n' Roller Coaster Starring Aerosmith",NA,60,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",65.5,78.3,"Rock Coaster"
2018-04-17,14,"Rock 'n' Roller Coaster Starring Aerosmith",NA,48.3333333333333,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",65.5,78.3,"Rock Coaster"
2018-04-17,15,"Rock 'n' Roller Coaster Starring Aerosmith",NA,55.5555555555556,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",65.5,78.3,"Rock Coaster"
2018-04-17,16,"Rock 'n' Roller Coaster Starring Aerosmith",NA,47.2222222222222,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",65.5,78.3,"Rock Coaster"
2018-04-17,17,"Rock 'n' Roller Coaster Starring Aerosmith",NA,36.1111111111111,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",65.5,78.3,"Rock Coaster"
2018-04-17,18,"Rock 'n' Roller Coaster Starring Aerosmith",NA,33.8888888888889,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",65.5,78.3,"Rock Coaster"
2018-04-17,19,"Rock 'n' Roller Coaster Starring Aerosmith",NA,66.6666666666667,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",65.5,78.3,"Rock Coaster"
2018-04-17,20,"Rock 'n' Roller Coaster Starring Aerosmith",NA,28.3333333333333,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",65.5,78.3,"Rock Coaster"
2018-04-17,21,"Rock 'n' Roller Coaster Starring Aerosmith",NA,5,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",65.5,78.3,"Rock Coaster"
2018-04-18,8,"Rock 'n' Roller Coaster Starring Aerosmith",NA,25,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",69.32,86.64,"Rock Coaster"
2018-04-18,9,"Rock 'n' Roller Coaster Starring Aerosmith",NA,17.2222222222222,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",69.32,86.64,"Rock Coaster"
2018-04-18,10,"Rock 'n' Roller Coaster Starring Aerosmith",NA,23.3333333333333,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",69.32,86.64,"Rock Coaster"
2018-04-18,11,"Rock 'n' Roller Coaster Starring Aerosmith",NA,49.4444444444444,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",69.32,86.64,"Rock Coaster"
2018-04-18,12,"Rock 'n' Roller Coaster Starring Aerosmith",NA,80.8333333333333,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",69.32,86.64,"Rock Coaster"
2018-04-18,13,"Rock 'n' Roller Coaster Starring Aerosmith",NA,98.8888888888889,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",69.32,86.64,"Rock Coaster"
2018-04-18,14,"Rock 'n' Roller Coaster Starring Aerosmith",NA,22.5,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",69.32,86.64,"Rock Coaster"
2018-04-18,15,"Rock 'n' Roller Coaster Starring Aerosmith",NA,48.3333333333333,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",69.32,86.64,"Rock Coaster"
2018-04-18,16,"Rock 'n' Roller Coaster Starring Aerosmith",NA,51.6666666666667,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",69.32,86.64,"Rock Coaster"
2018-04-18,17,"Rock 'n' Roller Coaster Starring Aerosmith",NA,26.875,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",69.32,86.64,"Rock Coaster"
2018-04-18,18,"Rock 'n' Roller Coaster Starring Aerosmith",NA,26.25,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",69.32,86.64,"Rock Coaster"
2018-04-18,19,"Rock 'n' Roller Coaster Starring Aerosmith",NA,41,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",69.32,86.64,"Rock Coaster"
2018-04-18,20,"Rock 'n' Roller Coaster Starring Aerosmith",NA,24.4444444444444,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",69.32,86.64,"Rock Coaster"
2018-04-18,21,"Rock 'n' Roller Coaster Starring Aerosmith",NA,5,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",69.32,86.64,"Rock Coaster"
2018-04-19,8,"Rock 'n' Roller Coaster Starring Aerosmith",NA,7.5,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",71.46,84.78,"Rock Coaster"
2018-04-19,9,"Rock 'n' Roller Coaster Starring Aerosmith",NA,28.3333333333333,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",71.46,84.78,"Rock Coaster"
2018-04-19,10,"Rock 'n' Roller Coaster Starring Aerosmith",NA,60.5555555555556,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",71.46,84.78,"Rock Coaster"
2018-04-19,11,"Rock 'n' Roller Coaster Starring Aerosmith",NA,55,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",71.46,84.78,"Rock Coaster"
2018-04-19,12,"Rock 'n' Roller Coaster Starring Aerosmith",28,57.2222222222222,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",71.46,84.78,"Rock Coaster"
2018-04-19,13,"Rock 'n' Roller Coaster Starring Aerosmith",NA,50,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",71.46,84.78,"Rock Coaster"
2018-04-19,14,"Rock 'n' Roller Coaster Starring Aerosmith",NA,72.2222222222222,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",71.46,84.78,"Rock Coaster"
2018-04-19,15,"Rock 'n' Roller Coaster Starring Aerosmith",NA,48,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",71.46,84.78,"Rock Coaster"
2018-04-19,16,"Rock 'n' Roller Coaster Starring Aerosmith",NA,48.8888888888889,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",71.46,84.78,"Rock Coaster"
2018-04-19,17,"Rock 'n' Roller Coaster Starring Aerosmith",NA,40,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",71.46,84.78,"Rock Coaster"
2018-04-19,18,"Rock 'n' Roller Coaster Starring Aerosmith",NA,51.6666666666667,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",71.46,84.78,"Rock Coaster"
2018-04-19,19,"Rock 'n' Roller Coaster Starring Aerosmith",NA,45,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",71.46,84.78,"Rock Coaster"
2018-04-19,20,"Rock 'n' Roller Coaster Starring Aerosmith",NA,31.6666666666667,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",71.46,84.78,"Rock Coaster"
2018-04-19,21,"Rock 'n' Roller Coaster Starring Aerosmith",NA,15,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",71.46,84.78,"Rock Coaster"
2018-04-20,8,"Rock 'n' Roller Coaster Starring Aerosmith",NA,10,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",71.84,82.33,"Rock Coaster"
2018-04-20,9,"Rock 'n' Roller Coaster Starring Aerosmith",NA,30,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",71.84,82.33,"Rock Coaster"
2018-04-20,10,"Rock 'n' Roller Coaster Starring Aerosmith",NA,79.4444444444444,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",71.84,82.33,"Rock Coaster"
2018-04-20,11,"Rock 'n' Roller Coaster Starring Aerosmith",NA,63.8888888888889,2.5,1.5,"Disney's Hollywood Studios","Sunset Boulevard",09:00:00,21:00:00,0,0,"regular",71.84,82.33,"Rock Coaster"
